STEP	STACK	INPUT	ACTION
1	['$']	['int', 'main', '(', ')', 'begin', 'int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	program -> int main ( ) begin stmt_list end
2	['$', 'end', 'stmt_list', 'begin', ')', '(', 'main']	['int', 'main', '(', ')', 'begin', 'int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	Match int
3	['$', 'end', 'stmt_list', 'begin', ')', '(']	['main', '(', ')', 'begin', 'int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	Match main
4	['$', 'end', 'stmt_list', 'begin', ')']	['(', ')', 'begin', 'int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	Match (
5	['$', 'end', 'stmt_list', 'begin']	[')', 'begin', 'int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	Match )
6	['$', 'end', 'stmt_list']	['begin', 'int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	Match begin
7	['$', 'end']	['int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	stmt_list -> stmt stmt_list
8	['$', 'end', 'stmt_list']	['int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	stmt -> declaration
9	['$', 'end', 'stmt_list']	['int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	declaration -> int n ;
10	['$', 'end', 'stmt_list', ';', 'n']	['int', 'n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	Match int
11	['$', 'end', 'stmt_list', ';']	['n', ';', 'do', 'expr', '=', 'expr', '+', 'expr', ';', 'n', '=', 'exp', ';', 'while', '(', 'exp', ')', 'return', '(', 'n', ')', 'end', '$']	Match n
